1976/294   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:28 0.29 269.41 148.69  4.69 1647 118.92   324.4 264886.  0.98  3.64   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 93.87 311.0 194735.
 0:01:09 0.29 269.42 148.69  4.69 1647 112.73   325.2 299248.  1.21  3.59   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.102.97 311.4 222864.
 0:01:49 0.29 269.42 148.68  4.69 1647 115.84   323.3 245343.  1.72  3.13   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.101.02 309.6 190883.
 0:02:30 0.29 269.42 148.68  4.69 1647 108.80   323.4 226859.  1.48  2.90   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 98.93 312.9 199582.
 0:03:10 0.29 269.43 148.68  4.69 1647 125.33   321.8 226353.  0.81  3.68   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.109.43 311.7 179110.
 0:03:51 0.29 269.43 148.67  4.69 1647 110.60   328.5 232849.  1.07  2.18   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 92.99 320.6 201362.
 0:04:31 0.29 269.43 148.67  4.69 1647 100.21   331.5 274560.  1.02  2.15   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 90.94 321.8 225995.
 0:05:12 0.29 269.44 148.67  4.69 1647 125.73   335.1 261793.  3.23  3.85   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 93.49 319.0 193855.
 0:05:52 0.29 269.44 148.66  4.69 1647 106.17   332.2 231907.  2.54  3.15   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.101.17 318.2 177099.
 0:06:33 0.29 269.44 148.66  4.69 1647 112.37   329.1 257216.  1.42  3.29   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 98.48 318.2 195778.
 0:07:13 0.29 269.45 148.66  4.69 1647 114.31   328.0 240087.  1.87  2.93   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 96.41 316.6 176739.
 0:07:54 0.29 269.45 148.66  4.69 1647 122.07   327.0 198260.  2.40  3.04   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 98.81 318.4 193374.
 0:08:34 0.29 269.45 148.66  4.69 1647 122.96   327.2 223546.  2.49  2.89   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 98.98 316.4 178935.
 0:09:15 0.29 269.46 148.65  4.69 1647 111.79   332.5 233346.  2.74  2.39   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 99.66 317.9 189018.
 0:09:55 0.29 269.46 148.65  4.69 1647 113.40   327.3 224550.  2.51  2.78   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 98.37 314.8 177681.
 0:10:36 0.29 269.46 148.65  4.69 1647 104.94   326.1 207810.  3.18  3.73   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 93.07 317.0 178126.
 0:11:16 0.29 269.47 148.64  4.69 1647 112.83   331.0 221415.  1.52  1.93   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 91.52 318.9 165035.
 0:11:57 0.29 269.47 148.64  4.69 1647 114.55   328.4 215629.  2.44  3.08   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 96.84 318.3 177470.
 0:12:37 0.29 269.47 148.64  4.69 1647 116.85   324.6 169102.  3.29  3.13   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.104.58 312.0 163427.
 0:13:18 0.29 269.48 148.64  4.69 1647 131.06   321.2 177408.  3.37  3.84   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.114.39 307.4 133440.
 0:13:58 0.29 269.48 148.63  4.69 1647 127.95   321.0 196402.  4.35  4.37   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.113.04 302.5 116996.
 0:14:39 0.29 269.48 148.63  4.69 1647 108.40   326.3 225492.  4.22  2.90   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 84.32 312.2 138241.
 0:15:19 0.29 269.49 148.63  4.69 1647  96.06   322.3 240236.  3.35  4.13   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 92.82 310.8 178396.
 0:16:00 0.29 269.49 148.62  4.70 1647 105.13   329.8 226798.  2.53  3.39   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 90.67 317.8 186179.
 0:16:40 0.29 269.49 148.62  4.70 1647 112.78   328.2 203792.  2.05  3.08   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 88.97 317.2 169072.
